Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2022-01-03,1088.746826171875,1090.6038512736811,1070.494285660877,1071.1510311358852,5421611
2022-01-04,1113.3175048828125,1114.6309956772857,1088.81462402871,1094.2044407783767,10847728
2022-01-05,1118.5260009765625,1121.8776545605729,1101.9265882823174,1115.0838981501056,11643813
2022-01-06,1094.47607421875,1111.4605249543165,1091.0791361515087,1110.1923187691705,14447422
2022-01-07,1103.30810546875,1113.2949007403674,1092.2342419850618,1101.020877531252,13112115
2022-01-10,1104.2137451171875,1112.8192412314568,1094.2722359075522,1110.5546559066986,9246731
2022-01-11,1112.16259765625,1120.9491128479206,1102.8550708538112,1103.3080358803265,16205164
2022-01-12,1141.8511962890625,1143.595009691511,1116.4425076278837,1119.2959115588758,14800442
2022-01-13,1148.2828369140625,1150.8645340891296,1136.0993826537385,1141.9194026287705,11856712
2022-01-14,1149.9586181640625,1162.7761757448827,1144.0027445379585,1148.1469975068374,19930176
2022-01-17,1155.959716796875,1161.7344520199854,1149.0527486713804,1149.5057137125311,8036453
2022-01-18,1142.168212890625,1160.533959238436,1139.4280204859526,1157.091856839492,6215029
2022-01-19,1142.077880859375,1151.3173615953267,1136.3710722869748,1145.882379974198,9755485
2022-01-20,1122.0814208984375,1136.801286170844,1111.9133687702085,1132.3173998078944,16494486
2022-01-21,1122.262451171875,1133.3136701947521,1110.554606660208,1110.554606660208,13338594
2022-01-24,1076.9935302734375,1134.4461715764583,1066.666981959244,1120.9717499530957,21868937
2022-01-25,1074.887451171875,1081.8623458947789,1043.9757327083191,1064.1532222498897,24510205
2022-01-27,1058.9674072265625,1067.119939925388,1046.7160258148951,1058.0163123551283,20020431
2022-01-28,1057.9482421875,1076.087568078922,1054.5740661673967,1071.1508364816766,14667727
2022-01-31,1080.933837890625,1089.9016105598887,1067.1650674426833,1068.9768076649402,12143683
2022-02-01,1077.35595703125,1096.3331695818495,1063.0437697429202,1090.6264803582178,13200509
2022-02-02,1079.552490234375,1090.1733881906252,1075.725349000261,1090.1733881906252,10017691
2022-02-03,1065.6025390625,1087.6596951339798,1063.0888887078768,1083.3795890325775,9572839
2022-02-04,1055.8875732421875,1063.6551874088461,1051.2678326966015,1060.2808911532845,11061241
2022-02-07,1049.4561767578125,1067.4370085401163,1043.9757907846413,1060.7338205814565,10714467
2022-02-08,1067.09716796875,1068.8862659765236,1046.240291320876,1055.5931024543218,12060849
2022-02-09,1079.52978515625,1081.2055520274612,1067.9804353407576,1073.936188431649,11486225
2022-02-10,1078.4202880859375,1085.0554293647551,1071.1962083846827,1085.0554293647551,12464491
2022-02-11,1076.3143310546875,1079.9829770138074,1061.6850317485462,1074.887628748344,15943370
2022-02-14,1059.1712646484375,1066.599124811997,1047.5991516117767,1059.9412213800138,10719633
2022-02-15,1095.1328125,1097.8277206759533,1057.8803043046898,1064.9004831978962,11212671
2022-02-16,1092.8682861328125,1101.9492706042658,1085.16871921443,1100.5904953127101,10392840
2022-02-17,1106.704833984375,1111.8681080705421,1091.5321231787168,1096.1065786813085,12853252
2022-02-18,1098.05419921875,1112.5475227496659,1096.1292475949579,1107.112541400613,6775458
2022-02-21,1086.9576416015625,1103.987376793005,1080.028031731223,1092.4379072087868,11107193
2022-02-22,1082.0208740234375,1085.146105195485,1063.066305633856,1065.6705251768456,13494914
2022-02-23,1075.249755859375,1089.9696221846223,1072.5096827529123,1087.5012562225045,7310110
2022-02-24,1021.6695556640625,1059.7827129241718,1016.0760782454672,1043.975778151862,24846650
2022-02-25,1034.4420166015625,1045.3119804850721,1030.954508957098,1032.698202879161,14570089
2022-02-28,1068.682373046875,1072.2151647642706,1015.8948766365417,1015.8948766365417,21297446
2022-03-02,1086.346435546875,1087.4561461649769,1054.936581459969,1057.3143787554548,21471786
2022-03-03,1077.1746826171875,1093.7288113845136,1073.4381104672327,1087.002981514595,10186748
2022-03-04,1053.283203125,1070.8337101992126,1050.9280486616494,1065.7157207883167,10805667
2022-03-07,1014.3324584960938,1047.1916548725635,1006.3837060047663,1032.0641066685334,17983310
2022-03-08,1012.498046875,1017.253760796074,987.3611211647836,1001.6280233273343,21289374
2022-03-09,1066.2139892578125,1072.05665089973,1011.8864606126765,1012.7244638561707,20414228
2022-03-10,1083.4927978515625,1089.267532756051,1068.8862634347242,1087.0029472759036,17980493
2022-03-11,1086.617919921875,1091.9850941858494,1076.1555181267943,1076.1555181267943,12257423
2022-03-14,1095.540283203125,1098.0540530902786,1075.2269427815568,1081.0696038594047,8340678
2022-03-15,1070.4488525390625,1099.6620420875429,1060.2128731362302,1099.6620420875429,15925769
2022-03-16,1088.520263671875,1090.5810688907009,1076.6311594559988,1078.8504605069668,11149828
2022-03-17,1124.0064697265625,1131.1172183134404,1093.8420644373464,1101.8361008572806,21422098
2022-03-21,1117.5296630859375,1125.0480919172617,1104.6668219311773,1106.9314074851866,11999466
2022-03-22,1146.4031982421875,1148.124249688356,1111.2794206216663,1114.2232739689239,22557065
2022-03-23,1150.0491943359375,1161.666592238369,1142.7120228084564,1142.7120228084564,15462187
2022-03-24,1167.9166259765625,1170.407753742212,1136.823891628139,1136.823891628139,13168266
2022-03-25,1175.7069091796875,1184.8331776508987,1167.169339474114,1169.6604672992412,14222488
2022-03-28,1187.5283203125,1191.060992805179,1171.4723190412603,1182.1158606493575,9891424
2022-03-29,1187.7998046875,1194.7973413665754,1180.9381215710694,1194.7973413665754,8684065
2022-03-30,1210.6270751953125,1217.4434746814534,1185.331593767139,1195.6581430818142,15811550
2022-03-31,1193.3255615234375,1209.1551399202813,1190.5402036058347,1207.003765404827,13223718
2022-04-01,1202.8819580078125,1207.094137293246,1187.5507515318518,1193.891542920345,7922880
2022-04-04,1206.4375,1211.555489970758,1196.45070474843,1202.7009276541294,7929162
2022-04-05,1189.3851318359375,1209.2456310104756,1186.9620503043643,1200.7307025551163,13149870
2022-04-06,1186.2147216796875,1193.2122590361132,1171.744039651222,1171.744039651222,12257215
2022-04-07,1165.2899169921875,1180.3041331292436,1162.6402930619627,1175.3672812713683,15496499
2022-04-08,1184.6748046875,1188.9096265891387,1159.4698932414146,1159.4698932414146,15152495
2022-04-11,1182.2064208984375,1195.0466201854251,1169.8869936426172,1177.5865608022991,9254209
2022-04-12,1159.9456787109375,1178.7643968010725,1157.3866234467262,1171.6988117922874,13217742
2022-04-13,1155.6881103515625,1174.2351195875087,1152.9026326764838,1166.0373022107094,10354235
2022-04-18,1152.1551513671875,1159.3792305452218,1142.1683569783831,1147.2410619855225,9974224
2022-04-19,1196.065673828125,1208.385101413979,1155.4163428280708,1158.564096562945,26141820
2022-04-20,1231.2347412109375,1238.277682969599,1199.8248909839451,1203.448252046231,25072240
2022-04-21,1260.06298828125,1263.1880996959114,1237.3717275306717,1245.9319403276972,21708633
2022-04-22,1249.5101318359375,1269.0761631730086,1242.897512398799,1249.555416364938,15054154
2022-04-25,1220.6138916015625,1249.3288344946673,1206.41491600151,1242.0822318802027,17063215
2022-04-26,1257.1414794921875,1265.9054714118893,1226.3657374070801,1227.4074011312523,12227666
2022-04-27,1258.3646240234375,1280.851985416539,1247.811532355269,1248.1739283672139,19338945
2022-04-28,1277.16064453125,1291.269050141953,1261.874601680994,1272.6767577965609,25614076
2022-04-29,1263.7542724609375,1293.6015662528664,1257.8889681093667,1293.6015662528664,18214862
2022-05-02,1259.315673828125,1270.6612443033114,1249.1702630612974,1250.9593611931234,9467006
2022-05-04,1220.0023193359375,1263.6410258882418,1212.1442565160846,1261.3764403153348,19247660
2022-05-05,1196.11083984375,1236.4658174286478,1192.079918457506,1233.5218443509423,17210669
2022-05-06,1186.9393310546875,1204.3087009820067,1174.6651887519583,1183.112189870724,19649948
2022-05-09,1140.583251953125,1176.2732081933118,1135.4652620079833,1166.2410086662385,18083752
2022-05-10,1120.813232421875,1144.3423749690376,1113.2721615832613,1130.0301899582084,19511677
2022-05-11,1109.3319091796875,1125.478478168712,1096.9445548183617,1119.9075231154202,16643899
2022-05-12,1086.7313232421875,1102.787203178042,1073.4155164726255,1099.458311385817,20490321
2022-05-13,1099.050537109375,1122.3304948076038,1093.9551898739935,1098.7788299822744,19308778
2022-05-16,1099.3223876953125,1123.6892942266647,1094.54403200538,1102.6059947530612,13437911
2022-05-17,1145.497314453125,1150.366239393939,1101.496331090796,1102.9003909379085,16551828
2022-05-18,1149.6640625,1163.998888744779,1136.0312660890313,1150.252881038085,17276788
2022-05-19,1123.16845703125,1137.956250241304,1116.918234266966,1125.0481241931686,14699118
2022-05-20,1188.660400390625,1197.6961004424857,1133.2006360812218,1137.956229855782,21793091
2022-05-23,1180.7117919921875,1201.8403770570499,1174.4161648907582,1191.8534622113486,15252755
2022-05-24,1184.7652587890625,1194.7973375363194,1176.5448004718992,1180.7569797022973,13527818
2022-05-25,1183.0216064453125,1203.2670225299603,1178.2658929997126,1193.4387237828619,12714544
2022-05-26,1171.743896484375,1193.393371125466,1154.0347740615534,1188.6376579513867,17882023
2022-05-27,1166.3089599609375,1179.9191164627784,1150.4568600156867,1174.4388502012214,16521973
2022-05-30,1206.935791015625,1211.1025664956994,1174.9597635821942,1184.3803827895526,13853398
2022-05-31,1192.374267578125,1213.2764285050255,1184.6973432373502,1196.337262181718,70620653
2022-06-01,1192.75927734375,1202.587575606305,1184.9237375655662,1193.1215535044294,9776989
2022-06-02,1233.88427734375,1237.5755649319342,1192.98576447725,1192.98576447725,22126569
2022-06-03,1258.8853759765625,1276.0283243723425,1241.9009234208313,1242.8068535360608,23939791
2022-06-06,1253.4730224609375,1274.5110388345443,1246.3395117355965,1259.1119042533815,11093152
2022-06-07,1255.828125,1264.139152836091,1246.4527910651425,1254.5372764842177,12358255
2022-06-08,1233.77099609375,1259.564603425916,1230.2608467946977,1255.8280315270272,12479250
2022-06-09,1267.60400390625,1269.5288357275542,1227.4075206691546,1227.4075206691546,17278305
