order_id,date,product_name,category,sales,quantity,city
1,2023-12-27,Laptop,Office,252.79,6,Bangalore
2,2023-10-10,Monitor,Office,2113.1,9,Hyderabad
3,2023-10-07,Keyboard,Electronics,1033.33,9,Bangalore
4,2023-01-01,Headphones,Accessories,1719.16,7,Bangalore
5,2023-04-17,Mouse,Electronics,1422.29,1,Pune
6,2023-04-16,Headphones,Electronics,2964.19,3,Mumbai
7,2023-02-19,Headphones,Electronics,2611.65,1,Hyderabad
8,2023-08-07,Headphones,Accessories,1797.02,8,Chennai
9,2023-08-01,Keyboard,Office,4427.72,2,Bangalore
10,2023-03-19,Mouse,Office,4108.22,9,Pune
11,2023-06-22,Monitor,Electronics,1816.12,7,Mumbai
12,2023-12-11,Mouse,Office,499.71,4,Chennai
13,2023-10-29,Headphones,Office,3727.49,4,Bangalore
14,2023-06-09,Phone,Accessories,4734.21,1,Bangalore
15,2023-08-19,Printer,Office,3249.45,8,Delhi
16,2023-11-16,Phone,Office,2448.22,7,Hyderabad
17,2023-03-16,Mouse,Electronics,2516.15,4,Delhi
18,2023-02-19,Keyboard,Office,3120.41,4,Pune
19,2023-12-03,Phone,Office,3423.14,6,Chennai
20,2023-06-05,Mouse,Electronics,278.49,8,Bangalore
21,2023-06-05,Phone,Accessories,4522.0,6,Pune
22,2023-09-08,Headphones,Accessories,2754.91,3,Pune
23,2023-12-03,Monitor,Accessories,1465.75,5,Bangalore
24,2023-03-08,Headphones,Electronics,4367.63,6,Delhi
25,2023-10-30,Monitor,Accessories,2190.28,10,Pune
26,2023-02-07,Keyboard,Electronics,2850.87,7,Delhi
27,2023-02-28,Headphones,Accessories,3033.76,3,Pune
28,2023-12-06,Tablet,Electronics,3928.78,1,Bangalore
29,2023-04-17,Phone,Accessories,4036.49,2,Chennai
30,2023-10-05,Headphones,Accessories,3330.12,2,Bangalore
31,2023-08-19,Laptop,Accessories,1279.01,6,Chennai
32,2023-09-15,Monitor,Accessories,4463.35,1,Mumbai
33,2023-05-12,Headphones,Electronics,4209.5,7,Mumbai
34,2023-04-25,Laptop,Electronics,545.96,5,Pune
35,2023-08-18,Laptop,Electronics,4245.58,1,Hyderabad
36,2023-03-21,Phone,Electronics,2684.13,5,Hyderabad
37,2023-08-27,Tablet,Accessories,1558.73,3,Bangalore
38,2023-11-17,Monitor,Office,3236.07,10,Bangalore
39,2023-10-13,Tablet,Electronics,2404.74,10,Chennai
